term,frequency
vriéndelijk,1
opdagen,1
overbleef,1
beslist,1
hoefden,1
aangenomen,1
blij,1
aanwervingsplaats,1
menigte,1
krekels,1
duizenden,1
luidt,1
dakspanten,1
kriskras,1
vuurvliegjes,1
ritselt,1
schuurt,1
kruipt,1
beweegt,1
laatst,1
baboewand,1
ritselen,1
salamanders,1
knagen,1
afval,1
ratten,1
huisje,1
greppel,1
bamboewand,1
dunne,1
dringen,1
geluiden,1
dicht,1
dev,1
bord,1
onderkant,1
vervelend,1
smiddags,1
overhandigd,1
giechelend,1
lachend,1
patoet,1
zekere,1
persoonlijk,1
ochtend,1
aankeek,1
dak,1
binnenkant,1
hoogte,1
opgetrokken,1
miste,1
schoner,1
oppasser,1
verte,1
wazig,1
vlinders,1
vliegen,1
bordes,1
altaar,1
411er,1
syfilis,1
teruggekomen,1
keboemen,1
temg,1
colonne,1
afgezet,1
afgebracht,1
levend,1
hogelijk,1
tropen,1
rokende,1
legerkamp,1
soemowono,1
transport,1
bevoorrading,1
dienstvak,1
genoemd,1
landmachtonderdeel,1
afvoer,1
boesboes,1
baru,1
banyak,1
bali,1
aden,1
handelslieden,1
kobus,1
brenpunt,1
29-10-48,1
sabang,1
zuiderkruis,1
gardafui,1
kaap,1
pfgl^l,1
vsp,1
iwl,1
f*b,1
ixl3i,1
olielampje,1
vluchtelingen,1
evacuees,1
belek,1
geheel,1
stelling,1
vierhonderd,1
liggende,1
vijfhonderd,1
gingde,1
9.elegen,1
er0p,1
uer,1
ü16,1
beschoten,1
boom,1
2-8r.v.a,1
wachtmeester,1
handgranaat,1
zenuwen,1
last,1
weggebracht,1
halve,1
waarna,1
beloond,1
roepia,1
kloffie,1
zondagse,1
mevrouwtje,1
palmblad,1
rijstmesje,1
stadsof,1
grassoort,1
kasian,1
karbouw,1
grobak,1
goena-goena,1
goedang,1
djeroek,1
batik,1
ani-ani,1
aloon-aloon,1
woorden,1
maleise,1
lijst,1
proeven,1
liefste,1
puur,1
omringen,1
aanpakken,1
toestanden,1
vreemde,1
achtervolging,1
opmerken,1
leeggeroofd,1
gewond,1
ontsnappen,1
teruggebracht,1
zondags,1
khaki,1
binnenlopen,1
kleur,1
hoogrode,1
zessen,1
voorzichtig,1
kroop,1
nek,1
hing,1
moeilijkheden,1
collega,1
tjandiweg,1
parallel,1
merbaboeweg,1
stafkwartier,1
achterzijde,1
geschoten,1
ioo,1
ca,1
schatte,1
aandachtig,1
luisterde,1
bukte,1
achteromkijkend,1
angstig,1
slaapvertrek,1
sarongs,1
versleten,1
omhulde,1
stapel,1
holt,1
ginder,1
wsmi&a,1
ewmrmm,1
fe4aw,1
mèêi,1
bodjong,1
jongs,1
kat,1
m$fê,1
ts,1
higp,1
legendes,1
sages,1
rammelde,1
schrijfmachine,1
schoongehouden,1
grondig,1
elektrisch,1
tjandjoer,1
spandri-toelis,1
sindiri,1
saja,1
hospikken,1
bakkenes,1
prat,1
behandeling,1
verlaten,1
uitgescholden,1
achterlijk,1
dom,1
stom,1
meegegeven,1
gastheer,1
bevestigd,1
ogenblikkelijk,1
mijne,1
echtgenote,1
huizes,1
des,1
welgemoed,1
belde,1
adres,1
absoluut,1
dorpsschool,1
economie,1
drs,1
kandidaat,1
bene,1
nota,1
verontwaardiging,1
gekost,1
ruim,1
sodemieter,1
nep,1
aankleden,1
wüde,1
uitkwam,1
mandiekamer,1
handdoek,1
omgeslagen,1
voorgevallen,1
schone,1
gesteven,1
katjongs,1
teruggehaald,1
kokarde,1
gebruikten,1
ketel,1
koffie,1
ketels,1
geleende,1
wasketel,1
wip,1
thuishoorde,1
héér,1
overtuigd,1
neerlegden,1
snelle,1
gelaten,1
marineofficieren,1
gejaagd,1
oost-java,1
wonoasih,1
suikerfabriek,1
kerstfeest,1
achterhalen,1
bijten,1
slechte,1
onduidelijkheid,1
njai,1
gewonnen,1
spreekwoord,1
boeten,1
arrest,1
streng,1
legeringsgebouw,1
makende,1
misbruik,1
minderen,1
aanschouwen,1
gedeeld,1
postcommandant,1
jongeman,1
bevorderde,1
ontbloot,1
pikanterie,1
vrijwel,1
voorzorgsmaatregelen,1
uiterste,1
wapendiefstallen,1
aangezet,1
bedreigd,1
wijzen,1
onmogelijke,1
mogelijke,1
symptoom,1
ernstigste,1
daarvan,1
apra,1
toegesiste,1
voorbijgaan,1
herhaling,1
koortshitte,1
jenevergebruik,1
overweging,1
anderen,1
feest,1
vaderlands,1
uitstek,1
getuige,1
cantine,1
plaatsje,1
bewaren,1
geadviseerd,1
repatriëren,1
2000ste,1
toegewenst,1
afdeling,1
ziekenauto,1
bevallen,1
meegemaakt,1
indenken,1
sentimenteel,1
vierentwintigste,1
nadert,1
machtig,1
7p.om,1
bekijks,1
opgehaald,1
aat,1
autos,1
djatiroto,1
verhuisd,1
inclusief,1
zede,1
srling,1
rgts,1
nhet,1
ar,1
lende,1
nper,1
boepati,1
ome,1
soetomo,1
heuvel,1
kit,1
boeka,1
kort,1
automotor,1
triller,1
inductieklos,1
bobine,1
e.v.c,1
vakcentrale,1
eenheids,1
voorzitter,1
blokzijl,1
munten,1
schijven,1
blikken,1
nederlanders,1
hollanders,1
blandas,1
gebakken,1
bttoel,1
palembang,1
t.r.i,1
oetojo,1
bambang,1
standaard-ondcrdelen,1
noodbrug,1
baileybrug,1
bmia,1
go,1
haik,1
insigne,1
embleem,1
badge,1
heros,1
benter,1
hemdje,1
baadje,1
btndit,1
liberator,1
mitchel,1
bommenwerper,1
vliegtuigtype,1
cent,1
kostten,1
duur,1
geroepen,1
pasen,1
alledrie,1
ontdekten,1
paasdag,1
moffenkost,1
uien,1
worst,1
gedekt,1
nergens,1
geslachtsgemeenschap,1
verkering,1
velen,1
mede,1
vermoeidheid,1
lichamelijke,1
hoeveelheid,1
bovenmatige,1
gewonden,1
treurig,1
echt,1
bezoeken,1
momenteel,1
wapenbroeders,1
ovet,1
beloning,1
stuurden,1
leger-contacten,1
toegestuurd,1
ie,1
genius,1
pakje,1
fletse,1
neus,1
weerom,1
opgepikt,1
verliezen,1
groenhart,1
le,1
vastgehouden,1
kans,1
aanet,1
majoor,1
or,1
aanzien,1
lijdelijk,1
ge,1
verplegingsofficier,1
worg,1
pladjoe,1
mikmak,1
kpl,1
mouwen,1
hangen,1
strepen,1
aans,1
karabijn,1
kin,1
kapot,1
schiet,1
hermans,1
sgt,1
straflijst,1
knaap,1
goel,1
gek,1
kookcursus,1
vertrouwen,1
be,1
interne,1
deuren,1
sloten,1
slot,1
veilig,1
tegenwoordig,1
gelooft,1
i.p.v,1
meegekomen,1
kilotje,1
gewend,1
danken,1
zijr,1
bezems,1
3-tonner,1
beweging,1
treurige,1
mandiebak,1
overgoten,1
emmers,1
os,1
zagend,1
snurkend,1
ernaar,1
stinkt,1
gedronken,1
