term,frequency
sirenegeluid,1
sonore,1
loodzware,1
gebukt,1
verzengende,1
priok,1
rijden,1
kennissen,1
vrienden,1
rae,1
mac,1
j.h,1
general,1
passagiersschip,1
amerikaanse,1
thuisvaren,1
412e,1
terugzien,1
ergo,1
verzorgen,1
aangesteld,1
medegedeeld,1
onmisbare,1
uitgereikt,1
veldbedden,1
binnenplaats,1
zalen,1
ruime,1
beschikt,1
stadhuis,1
gebruik,1
rijdt,1
jeep,1
nederland,1
geadopteerd,1
voorrijden,1
januari,1
pietje,1
igf,1
zowel,1
constateren,1
baby,1
ingehuurd,1
bestaan,1
begeven,1
bevinden,1
nabijheid,1
toegestaan,1
blijken,1
belangrijk,1
krijgt,1
greep,1
zware,1
zijden,1
positie,1
bevoorrechte,1
daardoor,1
kantoor,1
mens,1
beminnelijk,1
beroepsmilitair,1
elhart,1
overste,1
arts,1
plaats,1
inlands,1
geassisteerd,1
verpleging,1
beheerd,1
makassar,1
dienen,1
adressen,1
daarmede,1
schoonhouden,1
weelde,1
gemak,1
opgezet,1
hemd,1
verzameld,1
zweten,1
verplichte,1
middags,1
donderdag,1
tabé,1
terugvallen,1
trouwe,1
hart,1
vervult,1
dankbaarheid,1
makkers,1
gesneuvelde,1
gevoel,1
vreemd,1
overvalt,1
raakt,1
kade,1
pasirmanis,1
verzorgers,1
sitie,1
kardja,1
staakt-het-vuren,1
tni-eenheid,1
bewapend,1
zwaar,1
heen,1
toppen,1
noordwaarts,1
berggebied,1
natuurschoon,1
streek,1
pe-pe,1
riviertje,1
brug,1
toegangsweg,1
solo,1
tankauto,1
aangevoerd,1
larere,1
oosten,1
merapi,1
merbaboe,1
vulkanen,1
westen,1
vlakte,1
uitgestrekte,1
lag,1
panassang,1
heuvelachtig,1
bergachtig,1
vermoeiend,1
vlakke,1
besmeren,1
rijkelijk,1
boterhammen,1
stad,1
boter,1
blik,1
haalde,1
vogelaar,1
bediend,1
galerij,1
gezellig,1
luieren,1
benutten,1
zorgzaamheid,1
baboetje,1
zon,1
radiomuziek,1
minuten,1
technicus,1
vermeld,1
aardig,1
bivakkeren,1
doek,1
zwartwitte,1
beauties,1
bathing,1
brutale,1
rimboe,1
aloen-aloen,1
tropenavond,1
donkere,1
filmwagen,1
zeis,1
cadi-wagen,1
komst,1
hoogtepunten,1
afwassen,1
etensblikjes,1
poetsen,1
manusjes,1
verstellen,1
verzorgd,1
munitie,1
c3-bericht,1
verwacht,1
waardeloos,1
volstrekt,1
beoordeeld,1
sate-verkoper,1
c1,1
b1,1
ooggetuige,1
a2,1
doorgaf,1
hetzelfde,1
jodium,1
gesneden,1
vingers,1
zalf,1
bus,1
zweren,1
soorten,1
asperine,1
klachten,1
inwendige,1
schrijft,1
ziekenrapport,1
ziek,1
afgeven,1
helft,1
amper,1
dupe,1
tani,1
arme,1
omgezet,1
dergelijks,1
goud,1
aankomen,1
zakenlui,1
chinezen,1
gewiekste,1
rijke,1
honderd,1
fndiëgangers,1
kennen,1
appél,1
wachtkloppen,1
kun,1
slopen,1
lakens,1
zin,1
warm,1
bamboe,1
gevlochten,1
bilik,1
jaja,1
irian,1
nieuw-guinea,1
fietstaxi,1
betjak,1
sumatera,1
sumatra,1
jawa,1
djawa,1
nieuweling,1
sulawesi,1
celebes,1
kalimantan,1
borneo,1
overstroming,1
bediende,1
bandjir,1
benaming,1
b.v,1
veranderd,1
plaats)namen,1
plein,1
27-12-1949,1
soevereiniteitsoverdracht,1
verklarende,1
stonden,1
gehoord,1
jaloers,1
trenet,1
charles,1
mer,1
la,1
neuriede,1
nantes,1
fransman,1
domein,1
strijkijzers,1
electrische,1
schroeilucht,1
sunlight-zeep,1
geur,1
opgenomen,1
eigenlijk,1
functie,1
belangrijke,1
belangstelling,1
toont,1
opknappen,1
lijkt,1
politie,1
regel,1
bootswet,1
immer,1
gezien,1
ijdeltuit,1
aangetrokken,1
bruine,1
lage,1
wassende,1
pakian,1
bovenkleding,1
beschikken,1
xdan,1
mmm,1
wraak,1
terreur,1
bezig,1
t.n.i,1
stil,1
doods,1
ginds,1
achmad,1
dikkerd,1
waskini,1
christen-menadonees,1
dochter,1
robana,1
hoeven,1
muskietennet,1
pinda,1
katjang,1
dorp,1
rivier,1
orkest,1
slaginstrument,1
gamelan,1
datjes,1
ditjes,1
itoes,1
inis,1
uniformriemen,1
bokketuig,1
blanke,1
blanda,1
kindermeid,1
baboeshuisof,1
anak2,1
stadsplein,1
aloon2,1
woordenlijst,1
put,1
paul,1
grapjes,1
fijne,1
10-3-1950,1
perak,1
hotel,1
oudste,1
mnd,1
ervan,1
astana,1
rinum,1
puistje,1
weinigen,1
snor,1
reinheid,1
gekeurd,1
gedonderd,1
automatische,1
lichte,1
stens,1
vandoor,1
gisteren,1
meteen,1
val,1
moeke-henk-jan-leny-roosje-jacques-theo,1
lieve,1
6-3-1950,1
bèèè,1
eventjes,1
groen,1
scheel,1
denkt,1
inleveren,1
pak,1
nieuw,1
wasbaas,1
rust,1
kamp,1
middag,1
n-1-1950,1
avondpraatje,1
eindig,1
geklede,1
genomen,1
19-11-1949,1
bangil,1
tampalje,1
veldbed,1
wmm,1
im,1
ui,1
pt,1
mmi,1
geïnformeerd,1
poos,1
bal,1
stuip,1
bel,1
voorste,1
treintje,1
erbij,1
pronken,1
onderbroek,1
straks,1
durven,1
fraaie,1
vermoord,1
peloppers,1
22-7-1949,1
lied,1
hoogste,1
stapelgek,1
werkjes,1
allerlei,1
platen,1
grammofoons,1
kasten,1
volop,1
nunspeet,1
groter,1
klets,1
moer,1
minstens,1
overdag,1
troebele,1
genoten,1
rechts,1
scharrelde,1
trokken,1
t;9m,1
gokken,1
overvloed,1
voegde,1
staarde,1
draaide,1
meewarig,1
uitkleed,1
bergen,1
sjokken,1
gebied,1
aktief,1
slanke,1
luierde,1
evenwicht,1
voelde,1
voeding,1
gram,1
rommelde,1
rotdrank,1
verdomme,1
hierbij,1
verbleekten,1
gezichten,1
kon.(alle,1
mooiste,1
zijde,1
droombeeld,1
forma,1
optima,1
wachtlopenmens,1
noemen,1
boer,1
drinken,1
rusten,1
lagen,1
kende,1
vaker,1
best,1
kloppen,1
patrouilles,1
nonjas,1
kampong-hoofd,1
hand,1
fout,1
zeiknat,1
gelopen,1
kilometer,1
veertig,1
zweette,1
kleding,1
goe,1
schreef,1
brieije,1
nauweljks,1
ding,1
javaanse,1
hoefde,1
heulden,1
vijand,1
zuur,1
beurt,1
buik,1
onderscheid,1
afstand,1
vergaten,1
meid,1
zagen,1
opvattingen,1
informeren,1
tjermee,1
pasoeroean,1
posten,1
reis,1
tweede,1
vlak,1
bevalling,1
punctueel,1
boord,1
kantje,1
ontredderd,1
versteeg,1
luitenant,1
hekel,1
poetsten,1
stopten,1
brachten,1
meest,1
beschikking,1
ter,1
bedienden,1
kwijt,1
dierbaars,1
land,1
contacten,1
summier,1
spijt,1
realiseerde,1
kinderbaboe,1
zeiden,1
ouders,1
alsof,1
spannende,1
krant,1
harskamp,1
gekke,1
skraenten,1
huize,1
duif,1
bedden,1
apen,1
schoolenberg,1
freek,1
dankwoord,1
buitenpost,1
echte,1
begrafenis,1
fire,1
cease,1
cadeautje,1
cabaret,1
datang,1
kamo,1
liep,1
neer,1
zag,1
keek,1
begon,1
gemaakt,1
madoera,1
wilden,1
helpen,1
kregen,1
ingenomen,1
slaapplaats,1
omarmd,1
êëm,1
jmm,1
bomen,1
schaduw,1
zwembad,1
lui,1
drukte,1
armen,1
bamhoom,1
sliep,1
verbaasd,1
geringste,1
minste,1
bed0,1
soepapmie,1
verlegen,1
soekaitie,1
links,1
ipf^i,1
jfei,1
doende,1
waterput,1
mam,1
wêsm,1
wsbm,1
souvenirs,1
wuiven,1
tjibaroesa,1
vertrek,1
overleden,1
wijze,1
natuurlijke,1
plotseling,1
spoor,1
generaal,1
mei,1
bren,1
zuid,1
tjisaroea,1
oprukken,1
tactisch,1
begonnen,1
dommer,1
gaten,1
hangt,1
dl,1
wijst,1
geruchten,1
onopgemerkt,1
besloten,1
midden,1
commandant,1
compagnies,1
wagenaar,1
kapitein,1
zodoende,1
mohammedaans,1
soedanezen,1
mohammed,1
hemelvaartsdag,1
vrije,1
bevonden,1
gearriveerd,1
aanblik,1
zelfde,1
bood,1
stromende,1
zicht,1
molenvliet,1
volgende,1
wachten,1
ide,1
gedachten,1
gingen,1
slaap,1
meesten,1
nokken,1
giechelen,1
morgenvroeg,1
beginnen,1
sloffend,1
open,1
en.de,1
draaiden,1
staakt,1
23-00,1
geval,1
ergste,1
verliefd,1
planter,1
theeplukster,1
burgermaatschappij,1
wennen,1
soldatenleven,1
vertrouwd,1
begreep,1
maakten,1
houtskool,1
deed,1
gekomen,1
probolinggo,1
allen,1
ouder,1
knil,1
hoofdpost,1
komering,1
martapura,1
dankzij,1
besar,1
ssüü,1
fe,1
issffe,1
èisïfiê,1
rijk,1
v/h,1
betaald,1
brengt,1
iedere,1
hut,1
vijven,1
gebeuren,1
tijdelijk,1
juli,1
pr,1
liffiéö,1
wm,1
gratis,1
zoutwater-zeep,1
st,1
totaal,1
sigaren,1
delft,1
koeken,1
mints,1
zk,1
hartelijk,1
verteld,1
dominee,1
vertrok,1
gevoelens,1
gemengde,1
vegen,1
rommel,1
kwamen,1
omgekeerd,1
erop,1
deel,1
kampcomplex,1
ambarawa,1
meegingen,1
meubelen,1
kisten,1
konvooien,1
djokja,1
regering,1
republikeinse,1
terugkeer,1
weemoedig,1
keken,1
tuiten,1
tranen,1
huilden,1
achterburen,1
emmahaven,1
a.a.t,1
wagens,1
stapten,1
april,1
wactt,1
oangewegen,1
wedeneng,1
dej,1
waatn,1
keatnacht,1
dn,1
d/oaat,1
kant,1
andene,1
gebouwtje,1
diepen,1
baboee,1
begroeten,1
verwanten,1
gehaald,1
kaartspelletje,1
borst,1
brave,1
riepen,1
uitteketting,1
marinier,1
bijv,1
vroegen,1
keurden,1
ziekenverpleger,1
buitenposten,1
meepraten,1
ziekenverplegers,1
ziekten,1
venerische,1
doolden,1
stiekum,1
feit,1
gezet,1
kamer,1
straf,1
diverse,1
richting,1
danig,1
kreeg,1
lijstje,1
overgebleven,1
ene,1
geluksvogel,1
heette,1
enkhuizen,1
schaap,1
nico,1
kop,1
huriy-up,1
intussen,1
draait,1
zaaik,1
hoor,1
geslapen,1
daairtussen,1
6-8,1
opzitten,1
oren,1
raar,1
klinkt,1
mooi,1
zelf,1
huilen,1
gezegd,1
bier,1
lion,1
ijskoud,1
flesje,1
schrijven,1
sportbroekje,1
zomerweer,1
stralendste,1
zusters,1
broers,1
vader,1
getrouwd,1
heet,1
beviel,1
neergelegd,1
revolvers,1
stelletje,1
polonia,1
knokken,1
verjaardag,1
uitspreekt,1
predomme,1
henk,1
gezicht,1
bedroefd,1
uiten,1
vloek,1
lelijke,1
soms,1
rug,1
schop,1
keuzecommissie,1
voetballen,1
ploeg,1
klas,1
zindelijk,1
bekeken,1
oogpunt,1
hygiënisch,1
donder,1
handdoeken,1
gewoonte,1
inspectie,1
schei,1
betreft,1
prima,1
organisatie,1
droog,1
teleurgesteld,1
uiteraard,1
moeder,1
raakte,1
bijzijn,1
bevestigend,1
onnozelheid,1
lief,1
vindt,1
gepeins,1
verzonk,1
was-baboe,1
tolk,1
verstond,1
kampongbewoners,1
dorpshoofd,1
bespreking,1
gezakt,1
gepakt,1
zaten,1
verzoek,1
qui-vive,1
iedereen,1
leren,1
snel,1
probeerde,1
hielden,1
kookten,1
kokkis,1
deden,1
t.v,1
radio,1
betaalmeester,1
geld,1
gestaakt,1
honger,1
maanden,1
slecht,1
mis,1
juni,1
stinkende,1
vieze,1
eindelijk,1
geklaard,1
karwei,1
tiende,1
belang,1
strategisch,1
cheribon,1
doorsteek,1
veroverd,1
garoet,1
tasikmalaja,1
tjiamis,1
vijfde,1
barakken,1
gelegerd,1
3-14-ri,1
arriveert,1
dienst,1
jaren,1
minah,1
kornuiten,1
vergoeding,1
malen,1
volgt,1
dezelfde,1
vier,1
indië,1
heren,1
meevaller,1
knil-kazerne-onderkomens,1
oude,1
betrekken,1
zuiden,1
cornelis,1
meester,1
kwartier,1
hollander,1
beland,1
dienstmeid,1
bat,1
bestuur,1
binnenlands,1
b.b,1
gras,1
rietachtig,1
hoog,1
alang-alang,1
bijliggen,1
erf,1
kokkie,1
elkaar,1
tennissen,1
zwemmen,1
troepen,1
engelse,1
opperbevelhebber,1
georganiseerd,1
verrassing,1
kwam,1
fa,1
jggst,1
ssssssk,1
subs,1
9r|be,1
mm,1
llléél,1
maaltijden,1
zelfgekookte,1
noodrantsoenen,1
huishoudelijke,1
getroffen,1
vlag,1
nederlandse,1
eenmaal,1
roema,1
namen,1
onmiddellijk,1
min,1
ah,1
gelukkige,1
doodvermoeide,1
eindigde,1
opwindende,1
glijden,1
balken,1
personeelsleden,1
verbindingsmensen,1
aangekomen,1
samen,1
gevolge,1
uitbreiding,1
work,1
happy,1
our,1
after,1
but,1
her,1
for,1
asking,1
others,1
some,1
been,1
there,1
enquire,1
went,1
from,1
him,1
brought,1
he,1
knew,1
his,1
returning,1
officers,1
that,1
heard,1
day,1
wilde,1
maakte,1
kennis,1
gegadigden,1
java,1
meegebracht,1
holland,1
officieren,1
hoorde,1
jong,1
fietsen,1
vervoermiddel,1
prettig,1
truus,1
werkuren,1
vaste,1
legeradministratie,1
tewerk,1
straat,1
gezellige,1
park,1
bestond,1
oliemaatschappij,1
bewoond,1
oorlog,1
wijk,1
week,1
loon,1
verlieten,1
malang,1
huilend,1
gediend,1
geschikte,1
vlug,1
vond,1
zondag,1
aanvankelijk,1
dacht,1
voertuigen,1
uitgaande,1
pasjes,1
controleert,1
kampement,1
passeren,1
okt./dec,1
terreur-periode,1
aanduiding,1
paraat,1
weest,1
letterlijk,1
bersiap,1
huisbediende,1
vrouwelijke,1
kampongs,1
haalden,1
kamers,1
mannen,1
weinig,1
vriendelijke,1
doorsnee,1
fanatiekelingen,1
tony,1
vervoort,1
willy,1
hawaïans,1
kilima,1
populaire,1
zeer,1
o.a,1
cabaretvoorstellingen,1
muzieken,1
gedoeld,1
biedt,1
niwin,1
ontspanning,1
gevaar,1
kazernes,1
vrouwen,1
aard,1
sexuele,1
geestelijke,1
bedreigen,1
gevaren,1
spreker,1
verkeren,1
militairen,1
waarin,1
problemen,1
analfabeet,1
veelal,1
leverde,1
gemerkt,1
manier,1
ieder,1
voorkomen,1
wapens,1
onderhoud,1
kokki,1
koki,1
baboe-tjoetji,1
verrichtte,1
diensten,1
behoeve,1
burgerpersoneel,1
wanaredja,1
arbeider,1
goederenloods,1
huisjongen,1
werkster,1
dorpstimmerman,1
poeloeh,1
menteng,1
sobat,1
ampoen,1
pagi,1
sadjah,1
kalie,1
passar,1
tampat,1
kretek,1
teng-teng,1
mandoer,1
koelie,1
havengoedang,1
toekankajoe,1
patria,1
woordvertalina,1
compie,1
4e,1
ijdo,1
opgesteld,1
weerszijden,1
kampongbevolking,1
djonggossen,1
vertrouwde,1
groet,1
inladen,1
jassen,1
broeken,1
hurkte,1
jo,1
3apoen,1
werkten,1
praten,1
berbicara,1
europeaan,1
nederlander,1
belanda,1
nieuw(eling,1
baroe(u,1
west(en,1
barat,1
koffers,1
bagage,1
barang,1
vliegveld,1
udara,1
bandar,1
membajar,1
bajar,1
gunstig,1
huishouding,1
hulp,1
babu,1
varken,1
babi,1
semua,1
atas,1
dakbedekking,1
atap,1
wind,1
angin,1
waterval,1
teijun,1
gewoonterecht,1
adat,1
indonesisch-nederlands,1
nauwelijks,1
vertier,1
regenbui,1
fikse,1
gewenst,1
regelmatig,1
riant,1
meestal,1
onderkomens,1
organiseren,1
mogelijk,1
hijzelf,1
doen,1
maten,1
tijdsbesteding,1
marianne,1
onvolprezen,1
opgediend,1
gebraden,1
geslacht,1
kippenstand,1
feestmaal,1
richtten,1
sibolga,1
avonden,1
laatste,1
vieren,1
officieel,1
leger,1
typisch,1
gehouden,1
sportwedstrijden,1
feestdagen,1
komende,1
geschreven,1
gong,1
stukje,1
delen,1
halen,1
bindjei,1
hoedemakers,1
vanmiddag,1
stuk,1
voel,1
augustus,1
orde,1
pet,1
zakdoeken,1
kleingoed,1
aangevuld,1
uniformjas,1
daarvoor,1
verschoning,1
complete,1
recht,1
netjes,1
ziet,1
pakean,1
bewaking,1
geoogst,1
rijstveld,1
groot,1
tni,1
ogen,1
ingezet,1
druk,1
talen,1
herkenbaar,1
moeilijker,1
krenten,1
lijken,1
brood,1
normaal,1
muizenkeutels,1
torretjes,1
krentenbrood,1
koelies,1
honderdvijftig,1
katoen,1
uitdelen,1
maand,1
nieuwe,1
november,1
obat,1
beloofd,1
chinese,1
bezoek,1
ontzettend,1
jeukt,1
hond,1
rode,1
ogenblik,1
oktober,1
bevel,1
bars,1
zingen,1
liedjes,1
leuke,1
appèl,1
morgens,1
majoortje,1
kijken,1
meisjes,1
gestreken,1
keurig,1
costuum,1
pakeans,1
gedoe,1
primitieve,1
ondanks,1
vinden,1
hopelijk,1
omgeving,1
rustige,1
eenheid,1
lossen,1
mesten,1
mandibakken,1
nodig,1
water,1
plekje,1
madame,1
verdient,1
wassen,1
sectiebaboe,1
warempel,1
tabeh,1
roepen,1
vanaf,1
iemand,1
opeens,1
horen,1
pauze,1
kaartje,1
goedkoopste,1
slapen,1
broek,1
ging,1
strijken,1
dagelijks,1
meeste,1
mijnheer,1
mau,1
tida,1
gelukkig,1
smeren,1
vele,1
getracht,1
gevoerd,1
dronken,1
moment,1
onthoofden,1
bataljonscommando,1
intriges,1
explosief,1
situatie,1
woonden,1
dames,1
onderdak,1
vonden,1
panden,1
bijgebouwtjes,1
stond,1
surabaya,1
kali,1
herenhuizen,1
rijtje,1
ondergebracht,1
oppassers,1
horende,1
lieden,1
plus,1
beproeven,1
geluk,1
opgewekt,1
antwoordde,1
teneergeslagen,1
minst,1
mededeling,1
aannemen,1
voorzien,1
ns,1
zichtbaar,1
hanger,1
kettinkje,1
gouden,1
fijn,1
hals,1
schoentjes,1
sierlijke,1
gratie,1
droeg,1
liepen,1
voeten,1
blote,1
len,1
kabaja,1
kanten,1
dito,1
goedkope,1
ian,1
smaakvol,1
inlandse,1
deftige,1
reden,1
jonge,1
knappe,1
opvallende,1
gezelschap,1
kazemewacht,1
soldaat,1
verscheen,1
gesprek,1
zaken,1
graag,1
opgelapt,1
post,1
gevonden,1
enige,1
soldaten,1
enkele,1
vertelde,1
sergeant,1
wees,1
kind,1
schaffen,1
meisje,1
behoefte,1
zei,1
teleurstelling,1
zeker,1
hield,1
pedofiel,1
stiekeme,1
soort,1
besefte,1
bekomen,1
iaar,1
verbazing,1
betalen,1
hoeft,1
meenemen,1
geregeld,1
familie,1
ranch,1
the,1
home,1
foto,1
overdenking,1
heterdaad,1
delicatesse,1
aapje,1
buitenstaander,1
geestelijk,1
bruiloftsstoet,1
taktiek,1
strategie,1
patrouille,1
koopje,1
proost,1
kunstenaar,1
presentje,1
bedanken,1
verdwenen,1
ineens,1
nooit,1
goede,1
trad,1
handen,1
nam,1
eerlijk,1
ooit,1
beste,1
begrijpen,1
afscheid,1
vertrokken,1
boos,1
toean,1
vraagt,1
fitji,1
termini,1
anna,1
woest,1
kou,1
bevend,1
zwart,1
kolen,1
hoop,1
katje,1
schreeuwde,1
gegooid,1
hok,1
vannacht,1
zegt,1
zoeken,1
tijdje,1
katjes,1
bandoeng,1
vroeger,1
boel,1
schoonmaken,1
vertellen,1
kijkt,1
bevolking,1
zoals,1
lompen,1
twintig,1
gillen,1
paar,1
geeft,1
gesproken,1
zoek,1
keer,1
zien,1
aangewezen,1
twaalf,1
zover,1
werk,1
koken,1
laten,1
daama,1
zoet,1
schoenen,1
smerige,1
durf,1
beter,1
zak,1
jute,1
gekleed,1
lelijk,1
dik,1
vuil,1
deur,1
schoffies,1
troep,1
staat,1
inderdaad,1
durft,1
dokter,1
raden,1
vertelt,1
spreek,1
onvindbaar,1
thuis,1
bedoel,1
moeilijk,1
maleis,1
gebrekkige,1
soendanes,1
spreken,1
schuw,1
werken,1
ga,1
weghalen,1
volle,1
leeg,1
werkelijk,1
huizen,1
lege,1
kast,1
vijf,1
jammer,1
tjimelakka,1
ritje,1
leuk,1
stel,1
wght,1
zaterdag,1
sinterklaas,1
vrijdag,1
kom,1
vandaag,1
overspannen,1
beetje,1
ligt,1
lekker,1
erg,1
dientje,1
niemand,1
personeel,1
eist,1
eind,1
vragen,1
willen,1
schijnt,1
lange,1
soemedang,1
gebracht,1
neemt,1
kees,1
lig,1
klamboe,1
stemming,1
opgewonden,1
heerst,1
goed,1
wonderlijk,1
toe,1
zitten,1
denken,1
zeggen,1
weten,1
manders,1
piet,1
ver,1
kampong,1
terug,1
school,1
buurt,1
begrepen,1
woonde,1
gevraagd,1
meegaan,1
compagnie,1
derde,1
morgen,1
dachten,1
doordat,1
weet,1
gegeven,1
kleren,1
mn,1
antenne,1
zetten,1
geharrewar,1
heel,1
radiokamer,1
afgesloten,1
1-4-r.i,1
episode,1
alweer,1
tjiranjang,1
vaarwel,1
heten,1
tina,1
mimi,1
oda,1
zwaaiend,1
vertrekken,1
voorin,1
nemen,1
alles,1
tafels,1
ruimte,1
wagen,1
laden,1
korporaal,1
grappen,1
flauwe,1
mikpunt,1
word,1
rumoerig,1
lang,1
blijft,1
eigen,1
stuur,1
protest,1
genoeg,1
vind,1
leiding,1
houden,1
vraag,1
bar,1
wordt,1
gang,1
laat,1
naast,1
stoeien,1
jongens,1
kabaal,1
hevig,1
tien,1
af,1
brief,1
schrijf,1
avonds,1
model,1
woord,1
één,1
schoon,1
tafel,1
maakt,1
wacht,1
direct,1
haalt,1
sceptisch,1
sta,1
uur,1
terecht,1
niets,1
dick,1
krijgen,1
mogelijkheden,1
bespreken,1
heerlijk,1
natuurlijk,1
hier,1
opdeweg,1
vervangen,1
jeffie,1
koelon,1
tjikalon,1
februari,1
woensdag,1
opstand,1
bloed,1
wild,1
lichaam,1
prachtig,1
zie,1
gegaan,1
los,1
gooit,1
deken,1
verleidelijk,1
21e,1
mina,1
bed,1
liggen,1
wakker,1
djongossen,1
achterkant,1
loop,1
dagen,1
begint,1
brengen,1
keuken,1
dingen,1
lekkere,1
baboes,1
lachen,1
etty,1
elly,1
benen,1
mooie,1
bewonderen,1
